Title,Rating,votings,Duration,voting_counts
501. Vampire Killers,5.1,49,1h 26m,21000.0
502. Formula 51,6.3,49,1h 33m,52000.0
503. Spy Hard,5.3,49,1h 21m,41000.0
504. Ultraman: Rising,6.9,49,1h 57m,6300.0
505. Paul Blart: Mall Cop 2,4.5,49,1h 34m,43000.0
506. Into the Night,6.4,49,1h 55m,14000.0
508. Hit and Run,6.1,49,1h 40m,38000.0
509. Loose Cannons,4.9,49,1h 34m,5500.0
510. Fatman,5.9,49,1h 40m,32000.0
513. Jackass Forever,6.8,49,1h 36m,53000.0
514. Badass Ravikumar,7.2,49,2h 26m,9000.0
515. Laila,2.5,49,2h 15m,432.0
516. The Thief and the Cobbler,7.1,49,1h 39m,4900.0
517. Who Am I?,6.8,49,1h 48m,44000.0
518. Mafia Mamma,5.4,49,1h 41m,13000.0
519. Silver Streak,6.9,49,1h 54m,23000.0
520. Hot Pursuit,5.1,49,1h 27m,55000.0
